"County","City","SOW","DSCI","Precipitation","SoilTemp10","SoilTemp20","SoilMoisture10","SoilMoisture20","SoilMoistureVol10","SoilMoistureVol20"
Adams County,Natchez,2024-01-30 00:00:00.000,265,0.8,61.96,61.96,5.61,13.46,0.36,0.34
Adams County,Natchez,2024-02-06 00:00:00.000,254,1.9,61.39,61.39,5.64,13.91,0.36,0.35
Adams County,Natchez,2024-02-13 00:00:00.000,165,0.0,60.99,60.99,5.69,14.1,0.36,0.36
Adams County,Natchez,2024-02-20 00:00:00.000,122,0.0,60.57,60.57,5.44,13.81,0.34,0.35
Adams County,Natchez,2024-02-27 00:00:00.000,122,0.52,60.21,60.21,5.26,13.39,0.33,0.34
Adams County,Natchez,2024-03-05 00:00:00.000,121,1.17,60.23,60.23,5.41,13.41,0.34,0.34
Adams County,Natchez,2024-03-12 00:00:00.000,21,1.89,60.29,60.29,5.39,13.5,0.34,0.34
Adams County,Natchez,2024-03-19 00:00:00.000,0,0.6,60.36,60.36,5.34,13.4,0.34,0.34
Adams County,Natchez,2024-03-26 00:00:00.000,0,0.02,60.31,60.31,5.33,13.31,0.34,0.34
Adams County,Natchez,2024-04-02 00:00:00.000,0,0.77,60.43,60.43,5.11,13.06,0.32,0.33
Adams County,Natchez,2024-04-09 00:00:00.000,0,1.84,60.61,60.61,5.37,13.17,0.34,0.34
Adams County,Natchez,2024-04-16 00:00:00.000,0,0.92,60.64,60.64,5.36,13.41,0.34,0.34
Adams County,Natchez,2024-04-23 00:00:00.000,0,0.82,60.97,60.97,5.26,13.24,0.33,0.34
Adams County,Natchez,2024-04-30 00:00:00.000,0,0.17,61.2,61.2,5.24,13.0,0.33,0.33
Adams County,Natchez,2024-05-07 00:00:00.000,0,1.3,61.59,61.59,5.19,12.87,0.33,0.33
Adams County,Natchez,2024-05-14 00:00:00.000,0,2.45,62.03,62.03,5.6,13.43,0.36,0.34
Adams County,Natchez,2024-05-21 00:00:00.000,0,0.0,62.49,62.49,5.24,13.2,0.33,0.34
Adams County,Natchez,2024-05-28 00:00:00.000,0,2.48,63.06,63.06,5.11,12.77,0.32,0.32
Adams County,Natchez,2024-06-04 00:00:00.000,0,0.88,63.6,63.6,5.07,12.63,0.32,0.32
Adams County,Natchez,2024-06-11 00:00:00.000,0,0.36,64.16,64.16,4.74,12.14,0.3,0.31
Adams County,Natchez,2024-06-18 00:00:00.000,0,0.06,64.79,64.79,4.57,11.81,0.29,0.3
Adams County,Natchez,2024-06-25 00:00:00.000,0,0.09,65.36,65.36,4.31,11.4,0.27,0.29
Adams County,Natchez,2024-07-02 00:00:00.000,93,2.15,65.91,65.91,4.16,11.09,0.26,0.28
Adams County,Natchez,2024-07-09 00:00:00.000,82,0.1,66.56,66.56,4.03,10.8,0.26,0.27
Adams County,Natchez,2024-07-16 00:00:00.000,82,0.9,67.19,67.19,3.91,10.57,0.25,0.27
Adams County,Natchez,2024-07-23 00:00:00.000,8,0.91,67.76,67.76,4.06,10.46,0.26,0.27
Adams County,Natchez,2024-07-30 00:00:00.000,0,0.0,68.26,68.26,4.11,10.44,0.26,0.26
Adams County,Natchez,2024-08-06 00:00:00.000,0,0.0,68.73,68.73,3.9,10.2,0.25,0.26
Adams County,Natchez,2024-08-13 00:00:00.000,0,0.04,69.21,69.21,3.67,9.9,0.23,0.25
Adams County,Natchez,2024-08-20 00:00:00.000,100,0.0,69.67,69.67,3.53,9.67,0.22,0.25
Adams County,Natchez,2024-08-27 00:00:00.000,183,1.33,70.1,70.1,3.41,9.47,0.22,0.24
Adams County,Natchez,2024-09-03 00:00:00.000,183,0.6,70.51,70.51,3.53,9.4,0.22,0.24
Adams County,Natchez,2024-09-10 00:00:00.000,183,2.37,70.91,70.91,3.89,9.44,0.25,0.24
Adams County,Natchez,2024-09-17 00:00:00.000,93,0.0,71.13,71.13,4.03,9.54,0.26,0.24
Adams County,Natchez,2024-09-24 00:00:00.000,93,0.01,71.36,71.36,3.9,9.49,0.25,0.24
Adams County,Natchez,2024-10-01 00:00:00.000,53,0.0,71.6,71.6,3.73,9.41,0.24,0.24
Adams County,Natchez,2024-10-08 00:00:00.000,84,0.0,71.76,71.76,3.64,9.31,0.23,0.24
Adams County,Natchez,2024-10-15 00:00:00.000,84,0.0,71.9,71.9,3.6,9.27,0.23,0.24
Adams County,Natchez,2024-10-22 00:00:00.000,100,0.0,71.9,71.9,3.53,9.24,0.22,0.23
Adams County,Natchez,2024-10-29 00:00:00.000,124,0.89,71.73,71.73,3.49,9.19,0.22,0.23
Adams County,Natchez,2024-11-05 00:00:00.000,118,2.74,71.7,71.7,3.56,9.21,0.23,0.23
Adams County,Natchez,2024-11-12 00:00:00.000,21,0.38,71.7,71.7,4.06,9.43,0.26,0.24
Adams County,Natchez,2024-11-19 00:00:00.000,0,1.01,71.59,71.59,4.1,9.61,0.26,0.24
Adams County,Natchez,2024-11-26 00:00:00.000,0,0.04,71.19,71.19,3.97,9.63,0.25,0.24
Adams County,Natchez,2024-12-03 00:00:00.000,0,0.99,70.59,70.59,4.11,9.71,0.26,0.25
Adams County,Natchez,2024-12-10 00:00:00.000,0,0.06,69.67,69.67,4.63,10.07,0.29,0.26
Adams County,Natchez,2024-12-17 00:00:00.000,0,0.05,68.79,68.79,4.56,10.27,0.29,0.26
Adams County,Natchez,2024-12-24 00:00:00.000,0,1.9,67.96,67.96,4.57,10.34,0.29,0.26
Adams County,Natchez,2024-12-31 00:00:00.000,0,0.73,67.2,67.2,4.73,10.61,0.3,0.27
Adams County,Natchez,2025-01-07 00:00:00.000,0,0.91,66.39,66.39,4.97,10.9,0.32,0.28
Adams County,Natchez,2025-01-14 00:00:00.000,0,0.0,65.33,65.33,5.06,11.43,0.32,0.29
Adams County,Natchez,2025-01-21 00:00:00.000,0,0.8,64.09,64.09,4.91,11.96,0.31,0.3
Adams County,Natchez,2025-01-28 00:00:00.000,0,0.92,62.97,62.97,5.3,12.73,0.34,0.32
Adams County,Natchez,2025-02-04 00:00:00.000,0,0.0,61.97,61.97,5.21,13.06,0.33,0.33
Adams County,Natchez,2025-02-11 00:00:00.000,21,2.71,61.53,61.53,5.37,13.06,0.34,0.33
Adams County,Natchez,2025-02-18 00:00:00.000,0,1.17,61.33,61.33,5.5,13.49,0.35,0.34
Adams County,Natchez,2025-02-25 00:00:00.000,0,0.0,60.91,60.91,5.54,13.76,0.35,0.35
Adams County,Natchez,2025-03-04 00:00:00.000,0,0.86,60.3,60.3,5.41,13.59,0.34,0.34
Adams County,Natchez,2025-03-11 00:00:00.000,0,0.17,59.96,59.96,5.26,13.3,0.33,0.34
Adams County,Natchez,2025-03-18 00:00:00.000,0,0.82,59.83,59.83,5.13,13.06,0.33,0.33
Alcorn County,Corinth,2023-05-30 00:00:00.000,0,0.22,57.52,57.52,3.12,9.88,0.2,0.25
Alcorn County,Corinth,2023-06-06 00:00:00.000,21,0.99,58.03,58.03,2.79,9.83,0.18,0.25
Alcorn County,Corinth,2023-06-13 00:00:00.000,37,2.17,58.5,58.5,2.51,9.67,0.16,0.25
Alcorn County,Corinth,2023-06-20 00:00:00.000,18,0.1,58.9,58.9,2.34,9.61,0.15,0.24
Alcorn County,Corinth,2023-06-27 00:00:00.000,18,0.15,59.36,59.36,1.94,9.5,0.12,0.24
Alcorn County,Corinth,2023-07-04 00:00:00.000,16,3.47,59.9,59.9,1.7,9.44,0.11,0.24
Alcorn County,Corinth,2023-07-11 00:00:00.000,0,0.32,60.5,60.5,1.79,9.4,0.11,0.24
Alcorn County,Corinth,2023-07-18 00:00:00.000,0,2.18,61.0,61.0,1.64,9.34,0.1,0.24
Alcorn County,Corinth,2023-07-25 00:00:00.000,0,0.0,61.51,61.51,1.39,9.29,0.09,0.24
Alcorn County,Corinth,2023-08-01 00:00:00.000,0,3.09,62.06,62.06,1.21,9.24,0.08,0.23
Alcorn County,Corinth,2023-08-08 00:00:00.000,0,5.21,62.56,62.56,1.34,9.2,0.08,0.23
Alcorn County,Corinth,2023-08-15 00:00:00.000,0,0.01,63.11,63.11,1.53,9.11,0.1,0.23
Alcorn County,Corinth,2023-08-22 00:00:00.000,0,0.33,63.61,63.61,1.33,9.09,0.08,0.23
Alcorn County,Corinth,2023-08-29 00:00:00.000,0,0.18,64.11,64.11,1.19,9.04,0.08,0.23
Alcorn County,Corinth,2023-09-05 00:00:00.000,0,0.31,64.54,64.54,1.13,9.0,0.07,0.23
Alcorn County,Corinth,2023-09-12 00:00:00.000,0,0.06,64.84,64.84,1.07,8.94,0.07,0.23
Alcorn County,Corinth,2023-09-19 00:00:00.000,5,0.47,65.04,65.04,1.0,8.9,0.06,0.23
Alcorn County,Corinth,2023-09-26 00:00:00.000,4,0.0,65.27,65.27,0.96,8.9,0.06,0.23
Alcorn County,Corinth,2023-10-03 00:00:00.000,104,0.13,65.5,65.5,0.94,8.81,0.06,0.22
Alcorn County,Corinth,2023-10-10 00:00:00.000,200,0.0,65.61,65.61,0.97,8.8,0.06,0.22
Alcorn County,Corinth,2023-10-17 00:00:00.000,300,0.0,65.64,65.64,1.0,8.79,0.06,0.22
Alcorn County,Corinth,2023-10-24 00:00:00.000,320,0.3,65.74,65.74,1.0,8.77,0.06,0.22
Alcorn County,Corinth,2023-10-31 00:00:00.000,391,0.0,65.73,65.73,1.03,8.73,0.07,0.22
Alcorn County,Corinth,2023-11-07 00:00:00.000,400,0.4,65.67,65.67,1.1,8.7,0.07,0.22
Alcorn County,Corinth,2023-11-14 00:00:00.000,400,1.12,65.56,65.56,1.13,8.7,0.07,0.22
Alcorn County,Corinth,2023-11-21 00:00:00.000,400,0.05,65.27,65.27,1.23,8.7,0.08,0.22
Alcorn County,Corinth,2023-11-28 00:00:00.000,399,0.78,64.81,64.81,1.34,8.71,0.09,0.22
Alcorn County,Corinth,2023-12-05 00:00:00.000,399,0.28,64.13,64.13,1.49,8.77,0.09,0.22
Alcorn County,Corinth,2023-12-12 00:00:00.000,399,0.0,63.34,63.34,1.64,8.77,0.1,0.22
Alcorn County,Corinth,2023-12-19 00:00:00.000,400,0.69,62.46,62.46,1.77,8.8,0.11,0.22
Alcorn County,Corinth,2023-12-26 00:00:00.000,400,0.01,61.53,61.53,1.96,8.84,0.12,0.22
Alcorn County,Corinth,2024-01-02 00:00:00.000,416,1.11,60.57,60.57,2.2,8.83,0.14,0.22
Alcorn County,Corinth,2024-01-09 00:00:00.000,416,1.17,59.34,59.34,2.9,8.89,0.18,0.22
Alcorn County,Corinth,2024-01-16 00:00:00.000,416,0.01,58.07,58.07,3.43,9.09,0.22,0.23
Alcorn County,Corinth,2024-01-23 00:00:00.000,416,3.04,56.5,56.5,4.33,9.67,0.27,0.25
Alcorn County,Corinth,2024-01-30 00:00:00.000,316,0.91,54.96,54.96,4.5,10.93,0.29,0.28
Alcorn County,Corinth,2024-02-06 00:00:00.000,228,1.78,53.99,53.99,4.61,11.2,0.29,0.28
Alcorn County,Corinth,2024-02-13 00:00:00.000,131,0.02,53.39,53.39,4.67,11.73,0.3,0.3
Alcorn County,Corinth,2024-02-20 00:00:00.000,95,0.72,53.04,53.04,4.36,11.39,0.28,0.29
Alcorn County,Corinth,2024-02-27 00:00:00.000,95,0.43,52.8,52.8,4.2,11.03,0.27,0.28
Alcorn County,Corinth,2024-03-05 00:00:00.000,93,0.64,52.8,52.8,4.2,10.81,0.27,0.27
Alcorn County,Corinth,2024-03-12 00:00:00.000,93,1.89,52.99,52.99,4.37,10.79,0.28,0.27
Alcorn County,Corinth,2024-03-19 00:00:00.000,57,1.45,53.16,53.16,4.4,11.07,0.28,0.28
Alcorn County,Corinth,2024-03-26 00:00:00.000,8,0.77,53.33,53.33,4.49,11.23,0.28,0.29
Alcorn County,Corinth,2024-04-02 00:00:00.000,0,0.94,53.56,53.56,4.16,10.99,0.26,0.28
Alcorn County,Corinth,2024-04-09 00:00:00.000,0,1.59,53.83,53.83,4.67,11.33,0.3,0.29
Alcorn County,Corinth,2024-04-16 00:00:00.000,0,0.31,54.14,54.14,4.26,11.29,0.27,0.29
Alcorn County,Corinth,2024-04-23 00:00:00.000,0,0.8,54.56,54.56,3.84,10.83,0.24,0.28
Alcorn County,Corinth,2024-04-30 00:00:00.000,0,1.71,54.93,54.93,3.54,10.47,0.22,0.27
Alcorn County,Corinth,2024-05-07 00:00:00.000,0,0.96,55.49,55.49,3.6,10.23,0.23,0.26
Alcorn County,Corinth,2024-05-14 00:00:00.000,0,1.19,56.06,56.06,3.59,10.03,0.23,0.25
Alcorn County,Corinth,2024-05-21 00:00:00.000,0,0.76,56.67,56.67,3.64,9.91,0.23,0.25
Alcorn County,Corinth,2024-05-28 00:00:00.000,0,1.72,57.29,57.29,3.63,9.83,0.23,0.25
Alcorn County,Corinth,2024-06-04 00:00:00.000,0,0.12,57.91,57.91,3.87,9.9,0.25,0.25
Alcorn County,Corinth,2024-06-11 00:00:00.000,0,0.11,58.56,58.56,3.34,9.8,0.21,0.25
Alcorn County,Corinth,2024-06-18 00:00:00.000,0,0.01,59.1,59.1,2.81,9.64,0.18,0.24
Alcorn County,Corinth,2024-06-25 00:00:00.000,100,0.21,59.61,59.61,2.41,9.59,0.15,0.24
Alcorn County,Corinth,2024-07-02 00:00:00.000,115,0.38,60.26,60.26,2.04,9.56,0.13,0.24
Alcorn County,Corinth,2024-07-09 00:00:00.000,115,0.59,60.79,60.79,1.67,9.44,0.11,0.24
Alcorn County,Corinth,2024-07-16 00:00:00.000,134,0.47,61.23,61.23,1.4,9.39,0.09,0.24
Alcorn County,Corinth,2024-07-23 00:00:00.000,134,2.18,61.74,61.74,1.39,9.36,0.09,0.24
Alcorn County,Corinth,2024-07-30 00:00:00.000,45,0.02,62.27,62.27,1.49,9.29,0.09,0.24
Alcorn County,Corinth,2024-08-06 00:00:00.000,95,0.0,62.76,62.76,1.3,9.26,0.08,0.23
Alcorn County,Corinth,2024-08-13 00:00:00.000,95,0.24,63.21,63.21,1.14,9.17,0.07,0.23
Alcorn County,Corinth,2024-08-20 00:00:00.000,109,0.0,63.59,63.59,1.01,9.11,0.06,0.23
Alcorn County,Corinth,2024-08-27 00:00:00.000,167,0.45,63.87,63.87,0.93,9.09,0.06,0.23
Alcorn County,Corinth,2024-09-03 00:00:00.000,167,0.0,64.1,64.1,0.94,8.99,0.06,0.23
Alcorn County,Corinth,2024-09-10 00:00:00.000,171,4.68,64.46,64.46,1.24,8.96,0.08,0.23
Alcorn County,Corinth,2024-09-17 00:00:00.000,74,0.02,64.93,64.93,2.47,8.9,0.16,0.23
Alcorn County,Corinth,2024-09-24 00:00:00.000,73,1.52,65.43,65.43,2.53,8.87,0.16,0.22
Alcorn County,Corinth,2024-10-01 00:00:00.000,75,0.0,65.69,65.69,2.54,8.8,0.16,0.22
Alcorn County,Corinth,2024-10-08 00:00:00.000,72,0.0,65.96,65.96,2.26,8.73,0.14,0.22
Alcorn County,Corinth,2024-10-15 00:00:00.000,72,0.0,66.01,66.01,2.07,8.7,0.13,0.22
Alcorn County,Corinth,2024-10-22 00:00:00.000,72,0.18,65.99,65.99,1.94,8.7,0.12,0.22
Alcorn County,Corinth,2024-10-29 00:00:00.000,100,0.58,65.79,65.79,1.81,8.7,0.12,0.22
Alcorn County,Corinth,2024-11-05 00:00:00.000,100,2.04,65.73,65.73,1.77,8.7,0.11,0.22
Alcorn County,Corinth,2024-11-12 00:00:00.000,0,1.47,65.66,65.66,2.37,8.7,0.15,0.22
Alcorn County,Corinth,2024-11-19 00:00:00.000,0,0.36,65.5,65.5,2.89,8.7,0.18,0.22
Alcorn County,Corinth,2024-11-26 00:00:00.000,0,0.13,64.94,64.94,2.89,8.67,0.18,0.22
Alcorn County,Corinth,2024-12-03 00:00:00.000,0,1.52,64.14,64.14,2.89,8.7,0.18,0.22
Alcorn County,Corinth,2024-12-10 00:00:00.000,0,1.15,62.97,62.97,3.47,8.74,0.22,0.22
Alcorn County,Corinth,2024-12-17 00:00:00.000,0,0.44,61.76,61.76,4.06,9.03,0.26,0.23
Alcorn County,Corinth,2024-12-24 00:00:00.000,0,1.71,60.67,60.67,4.11,9.41,0.26,0.24
Alcorn County,Corinth,2024-12-31 00:00:00.000,0,1.1,59.7,59.7,4.31,9.99,0.27,0.25
Alcorn County,Corinth,2025-01-07 00:00:00.000,0,0.49,58.83,58.83,4.29,10.23,0.27,0.26
Alcorn County,Corinth,2025-01-14 00:00:00.000,0,0.38,58.09,58.09,4.14,10.1,0.26,0.26
Alcorn County,Corinth,2025-01-21 00:00:00.000,0,0.34,57.11,57.11,4.03,10.04,0.26,0.26
Alcorn County,Corinth,2025-01-28 00:00:00.000,13,1.07,56.03,56.03,4.1,9.81,0.26,0.25
Alcorn County,Corinth,2025-02-04 00:00:00.000,16,0.11,54.89,54.89,4.23,10.24,0.27,0.26
Alcorn County,Corinth,2025-02-11 00:00:00.000,16,4.04,54.3,54.3,4.83,10.97,0.31,0.28
Alcorn County,Corinth,2025-02-18 00:00:00.000,0,0.1,53.79,53.79,4.64,11.99,0.29,0.3
Alcorn County,Corinth,2025-02-25 00:00:00.000,0,0.0,53.46,53.46,4.26,11.34,0.27,0.29
Alcorn County,Corinth,2025-03-04 00:00:00.000,0,1.15,52.7,52.7,4.13,10.91,0.26,0.28
Alcorn County,Corinth,2025-03-11 00:00:00.000,74,1.84,52.6,52.6,4.2,10.73,0.27,0.27
Alcorn County,Corinth,2025-03-18 00:00:00.000,0,0.03,52.5,52.5,4.36,10.97,0.28,0.28
Amite County,Centreville,2023-05-30 00:00:00.000,16,0.8,64.18,64.18,4.4,11.22,0.28,0.29
Amite County,Centreville,2023-06-06 00:00:00.000,16,1.36,64.51,64.51,4.37,11.0,0.28,0.28
Amite County,Centreville,2023-06-13 00:00:00.000,16,0.56,64.89,64.89,4.37,10.8,0.28,0.27
Amite County,Centreville,2023-06-20 00:00:00.000,100,0.49,65.33,65.33,4.26,10.6,0.27,0.27
Amite County,Centreville,2023-06-27 00:00:00.000,100,0.14,65.77,65.77,4.16,10.41,0.26,0.26
Amite County,Centreville,2023-07-04 00:00:00.000,100,1.53,66.36,66.36,4.06,10.17,0.26,0.26
Amite County,Centreville,2023-07-11 00:00:00.000,100,1.31,66.9,66.9,4.1,10.06,0.26,0.26
Amite County,Centreville,2023-07-18 00:00:00.000,75,0.38,67.54,67.54,4.07,9.89,0.26,0.25
Amite County,Centreville,2023-07-25 00:00:00.000,100,0.1,68.04,68.04,4.0,9.79,0.25,0.25
Amite County,Centreville,2023-08-01 00:00:00.000,100,0.34,68.56,68.56,3.87,9.61,0.25,0.24
Amite County,Centreville,2023-08-08 00:00:00.000,155,0.0,69.19,69.19,3.74,9.4,0.24,0.24
Amite County,Centreville,2023-08-15 00:00:00.000,255,0.0,69.74,69.74,3.64,9.2,0.23,0.23
Amite County,Centreville,2023-08-22 00:00:00.000,305,0.24,70.26,70.26,3.59,9.04,0.23,0.23
Amite County,Centreville,2023-08-29 00:00:00.000,400,0.44,70.79,70.79,3.51,8.9,0.22,0.23
Amite County,Centreville,2023-09-05 00:00:00.000,414,0.77,71.24,71.24,3.49,8.8,0.22,0.22
Amite County,Centreville,2023-09-12 00:00:00.000,467,0.18,71.69,71.69,3.46,8.7,0.22,0.22
Amite County,Centreville,2023-09-19 00:00:00.000,500,0.0,72.0,72.0,3.4,8.57,0.22,0.22
Amite County,Centreville,2023-09-26 00:00:00.000,500,0.0,72.27,72.27,3.4,8.5,0.22,0.22
Amite County,Centreville,2023-10-03 00:00:00.000,500,0.05,72.49,72.49,3.4,8.49,0.21,0.22
Amite County,Centreville,2023-10-10 00:00:00.000,500,0.5,72.74,72.74,3.4,8.5,0.21,0.22
Amite County,Centreville,2023-10-17 00:00:00.000,500,0.0,72.73,72.73,3.4,8.44,0.21,0.21
Amite County,Centreville,2023-10-24 00:00:00.000,500,0.0,72.56,72.56,3.4,8.41,0.21,0.21
Amite County,Centreville,2023-10-31 00:00:00.000,500,0.01,72.4,72.4,3.4,8.49,0.21,0.22
Amite County,Centreville,2023-11-07 00:00:00.000,500,0.23,72.21,72.21,3.4,8.5,0.22,0.22
Amite County,Centreville,2023-11-14 00:00:00.000,500,1.23,72.01,72.01,3.44,8.59,0.22,0.22
Amite County,Centreville,2023-11-21 00:00:00.000,414,0.44,71.64,71.64,3.66,8.71,0.23,0.22
Amite County,Centreville,2023-11-28 00:00:00.000,409,1.09,71.09,71.09,3.94,8.9,0.25,0.23
Amite County,Centreville,2023-12-05 00:00:00.000,321,0.5,70.46,70.46,4.19,9.37,0.27,0.24
Amite County,Centreville,2023-12-12 00:00:00.000,320,0.66,69.81,69.81,4.21,9.71,0.27,0.25
Amite County,Centreville,2023-12-19 00:00:00.000,320,1.42,69.03,69.03,4.24,10.06,0.27,0.26
Amite County,Centreville,2023-12-26 00:00:00.000,310,0.0,68.26,68.26,4.43,10.41,0.28,0.26
Amite County,Centreville,2024-01-02 00:00:00.000,274,2.72,67.47,67.47,4.56,10.71,0.29,0.27
Amite County,Centreville,2024-01-09 00:00:00.000,174,0.84,66.54,66.54,5.09,12.03,0.32,0.31
Amite County,Centreville,2024-01-16 00:00:00.000,174,0.03,65.2,65.2,4.99,12.51,0.32,0.32
Amite County,Centreville,2024-01-23 00:00:00.000,175,4.35,64.34,64.34,5.44,13.3,0.35,0.34
Amite County,Centreville,2024-01-30 00:00:00.000,77,1.15,63.67,63.67,5.43,13.66,0.34,0.35
Amite County,Centreville,2024-02-06 00:00:00.000,25,0.82,62.9,62.9,5.33,13.47,0.34,0.34
Amite County,Centreville,2024-02-13 00:00:00.000,0,0.0,62.44,62.44,5.24,13.27,0.33,0.34
Amite County,Centreville,2024-02-20 00:00:00.000,0,0.0,61.96,61.96,5.03,12.91,0.32,0.33
Amite County,Centreville,2024-02-27 00:00:00.000,32,2.45,61.79,61.79,4.94,12.56,0.31,0.32
Amite County,Centreville,2024-03-05 00:00:00.000,0,1.15,61.43,61.43,5.14,12.69,0.33,0.32
Amite County,Centreville,2024-03-12 00:00:00.000,0,1.51,61.39,61.39,5.1,12.83,0.32,0.33
Amite County,Centreville,2024-03-19 00:00:00.000,0,0.36,61.34,61.34,5.09,12.86,0.32,0.33
Amite County,Centreville,2024-03-26 00:00:00.000,0,1.34,61.43,61.43,5.13,12.83,0.33,0.33
Amite County,Centreville,2024-04-02 00:00:00.000,0,0.42,61.37,61.37,4.84,12.43,0.31,0.32
Amite County,Centreville,2024-04-09 00:00:00.000,0,1.3,61.46,61.46,4.96,12.29,0.31,0.31
Amite County,Centreville,2024-04-16 00:00:00.000,0,0.5,61.69,61.69,4.81,12.14,0.3,0.31
Amite County,Centreville,2024-04-23 00:00:00.000,0,0.88,61.89,61.89,4.74,11.94,0.3,0.3
Amite County,Centreville,2024-04-30 00:00:00.000,0,0.38,62.06,62.06,4.69,11.73,0.3,0.3
Amite County,Centreville,2024-05-07 00:00:00.000,0,2.85,62.34,62.34,4.57,11.47,0.29,0.29
Amite County,Centreville,2024-05-14 00:00:00.000,0,1.3,62.73,62.73,5.1,12.01,0.32,0.3
Amite County,Centreville,2024-05-21 00:00:00.000,0,0.0,63.1,63.1,4.81,12.11,0.31,0.31
Amite County,Centreville,2024-05-28 00:00:00.000,0,1.8,63.51,63.51,4.66,11.79,0.3,0.3
Amite County,Centreville,2024-06-04 00:00:00.000,0,0.53,63.94,63.94,4.7,11.59,0.3,0.29
Amite County,Centreville,2024-06-11 00:00:00.000,0,0.32,64.46,64.46,4.46,11.26,0.28,0.29
Amite County,Centreville,2024-06-18 00:00:00.000,0,0.4,64.93,64.93,4.39,11.01,0.28,0.28
Amite County,Centreville,2024-06-25 00:00:00.000,0,0.2,65.5,65.5,4.3,10.74,0.27,0.27
Amite County,Centreville,2024-07-02 00:00:00.000,13,2.05,65.99,65.99,4.26,10.51,0.27,0.27
